22	22	0000	CD	B-NP	B-Chemical
-	-	-000	HYPH	I-NP	I-Chemical
oxacalcitriol	oxacalcitriol	o20204203604	NN	I-NP	I-Chemical
suppresses	suppress	s0160202	VBZ	B-VP	O
secondary	secondary	s02053060	JJ	B-NP	B-Disease
hyperparathyroidism	hyperparathyroidism	h0106106030603025	NN	I-NP	I-Disease
without	without	w0303	IN	B-PP	O
inducing	induce	i5302052	VBG	B-VP	O
low	low	l000	JJ	B-NP	B-Disease
bone	bone	b050	NN	I-NP	I-Disease
turnover	turnover	t0650106	NN	I-NP	I-Disease
in	in	i500	IN	B-PP	O
dogs	dog	d020	NNS	B-NP	O
with	with	w030	IN	B-PP	O
renal	renal	r0504	JJ	B-NP	B-Disease
failure	failure	f04060	NN	I-NP	I-Disease
.	.	.000	.	O	O

BACKGROUND	BACKGROUND	b026053	NN	B-NP	O
:	:	:000	:	O	O
Calcitriol	Calcitriol	c04203604	NN	B-NP	B-Chemical
therapy	therapy	t06010	NN	I-NP	O
suppresses	suppress	s0160202	VBZ	B-VP	O
serum	serum	s0605	NN	B-NP	O
levels	level	l01042	NNS	I-NP	O
of	of	o100	IN	B-PP	O
parathyroid	parathyroid	p06030603	NN	B-NP	O
hormone	hormone	h065050	NN	I-NP	O
(	(	(000	(	O	O
PTH	PTH	p300	NN	B-NP	O
)	)	)000	)	O	O
in	in	i500	IN	B-PP	O
patients	patient	p030532	NNS	B-NP	O
with	with	w030	IN	B-PP	O
renal	renal	r0504	JJ	B-NP	B-Disease
failure	failure	f04060	NN	I-NP	I-Disease
but	but	b030	CC	O	O
has	have	h020	VBZ	B-VP	O
several	several	s010604	JJ	B-NP	O
drawbacks	drawback	d60102	NNS	I-NP	O
,	,	,000	,	O	O
including	include	i52403052	VBG	B-PP	O
hypercalcemia	hypercalcemia	h01062042050	NN	B-NP	B-Disease
and	and	a530	CC	O	O
/	/	/000	SYM	B-NP	O
or	or	o600	CC	O	O
marked	marked	m06203	JJ	B-NP	O
suppression	suppression	s0160205	NN	I-NP	B-Disease
of	of	o100	IN	B-PP	I-Disease
bone	bone	b050	NN	B-NP	I-Disease
turnover	turnover	t0650106	NN	I-NP	I-Disease
,	,	,000	,	O	O
which	which	w020	WDT	B-NP	O
may	may	m000	MD	B-VP	O
lead	lead	l030	VB	I-VP	O
to	to	t000	TO	B-PP	O
adynamic	adynamic	a3050502	JJ	B-NP	B-Disease
bone	bone	b050	NN	I-NP	I-Disease
disease	disease	d02020	NN	I-NP	I-Disease
.	.	.000	.	O	O

A	A	a000	DT	B-NP	O
new	new	n000	JJ	I-NP	O
vitamin	vitamin	v030505	NN	I-NP	B-Chemical
D	D	d000	NN	I-NP	I-Chemical
analogue	analogue	a504020	NN	I-NP	O
,	,	,000	,	O	O
22	22	0000	CD	B-NP	B-Chemical
-	-	-000	HYPH	I-NP	I-Chemical
oxacalcitriol	oxacalcitriol	o20204203604	NN	I-NP	I-Chemical
(	(	(000	(	O	O
OCT	OCT	o230	NN	B-NP	B-Chemical
)	)	)000	)	O	O
,	,	,000	,	O	O
has	have	h020	VBZ	B-VP	O
been	be	b050	VBN	I-VP	O
shown	show	s050	VBN	I-VP	O
to	to	t000	TO	I-VP	O
have	have	h010	VB	I-VP	O
promising	promising	p60502052	JJ	B-NP	O
characteristics	characteristic	c060230602302	NNS	I-NP	O
.	.	.000	.	O	O

This	This	t020	DT	B-NP	O
