Selegiline	Selegiline	s040204050	NN	B-NP	B-Chemical
-	-	-000	HYPH	O	O
induced	induce	i530203	VBN	B-NP	O
postural	postural	p0230604	JJ	I-NP	B-Disease
hypotension	hypotension	h010305205	NN	I-NP	I-Disease
in	in	i500	IN	B-PP	O
Parkinson	Parkinson	p06205205	NNP	B-NP	B-Disease
'	'	'000	POS	B-NP	I-Disease
s	s	s000	NNS	I-NP	I-Disease
disease	disease	d02020	NN	I-NP	I-Disease
:	:	:000	:	O	O
a	a	a000	DT	B-NP	O
longitudinal	longitudinal	l05203030504	JJ	I-NP	O
study	study	s3030	NN	I-NP	O
on	on	o500	IN	B-PP	O
the	the	t000	DT	B-NP	O
effects	effect	e10232	NNS	I-NP	O
of	of	o100	IN	B-PP	O
drug	drug	d602	NN	B-NP	O
withdrawal	withdrawal	w0303604	NN	I-NP	O
.	.	.000	.	O	O

OBJECTIVES	OBJECTIVES	o120230102	NNS	B-NP	O
:	:	:000	:	O	O
The	The	t000	DT	B-NP	O
United	United	u50303	NNP	I-NP	O
Kingdom	Kingdom	k052305	NNP	I-NP	O
Parkinson	Parkinson	p06205205	NNP	I-NP	B-Disease
'	'	'000	POS	B-NP	I-Disease
s	s	s000	NNS	I-NP	I-Disease
Disease	Disease	d02020	NN	I-NP	I-Disease
Research	Research	r020620	NNP	I-NP	O
Group	Group	g601	NNP	I-NP	O
(	(	(000	(	O	O
UKPDRG	UKPDRG	u21362	NNP	O	O
)	)	)000	)	O	O
trial	trial	t604	NN	B-NP	O
found	find	f053	VBD	B-VP	O
an	an	a500	DT	B-NP	O
increased	increase	i5260203	VBN	I-NP	O
mortality	mortality	m06304030	NN	I-NP	O
in	in	i500	IN	B-PP	O
patients	patient	p030532	NNS	B-NP	O
with	with	w030	IN	B-PP	O
Parkinson	Parkinson	p06205205	NNP	B-NP	B-Disease
'	'	'000	POS	B-NP	I-Disease
s	s	s000	NN	I-NP	I-Disease
disease	disease	d02020	NN	I-NP	I-Disease
(	(	(000	(	O	O
PD	PD	p300	NN	B-NP	B-Disease
)	)	)000	)	O	O
randomized	randomize	r053050203	VBD	B-VP	O
to	to	t000	TO	I-VP	O
receive	receive	r02010	VB	I-VP	O
10	10	0000	CD	B-NP	O
mg	mg	m200	NN	I-NP	O
selegiline	selegiline	s040204050	NN	I-NP	B-Chemical
per	per	p060	IN	B-PP	O
day	day	d000	NN	B-NP	O
and	and	a530	CC	O	O
L	L	l000	NN	B-NP	B-Chemical
-	-	-000	HYPH	O	I-Chemical
dopa	dopa	d010	NN	B-NP	I-Chemical
compared	compare	c0510603	VBN	B-PP	O
with	with	w030	IN	B-PP	O
those	those	t020	DT	B-NP	O
taking	take	t02052	VBG	I-NP	O
L	L	l000	NN	I-NP	B-Chemical
-	-	-000	HYPH	B-NP	I-Chemical
dopa	dopa	d010	NN	I-NP	I-Chemical
alone	alone	a4050	RB	B-ADVP	O
.	.	.000	.	O	O

Recently	Recently	r0205340	RB	B-ADVP	O
,	,	,000	,	O	O
we	we	w000	PRP	B-NP	O
found	find	f053	VBD	B-VP	O
that	that	t030	IN	B-SBAR	O
therapy	therapy	t06010	NN	B-NP	O
with	with	w030	IN	B-PP	O
selegiline	selegiline	s040204050	NN	B-NP	B-Chemical
and	and	a530	CC	I-NP	O
L	L	l000	NN	I-NP	B-Chemical
-	-	-000	HYPH	B-NP	I-Chemical
dopa	dopa	d010	NN	I-NP	I-Chemical
was	be	w020	VBD	B-VP	O
associated	associate	a2020303	VBN	I-VP	O
with	with	w030	IN	B-PP	O
selective	selective	s04023010	JJ	B-NP	O
systolic	systolic	s0230402	JJ	I-NP	B-Disease
orthostatic	orthostatic	o630230302	JJ	I-NP	I-Disease
hypotension	hypotension	h010305205	NN	I-NP	I-Disease
which	which	w020	WDT	B-NP	O
was	be	w020	VBD	B-VP	O
abolished	abolish	a1040203	VBN	I-VP	O
by	by	b000	IN	B-PP	O
withdrawal	withdrawal	w0303604	NN	B-NP	O
of	of	o100	IN	B-PP	O
selegiline	selegiline	s040204050	NN	B-NP	B-Chemical
.	.	.000	.	O	O

This	This	t020	DT	B-NP	O
unwanted	unwanted	u505303	JJ	I-NP	O
effect	effect	e1023	NN	I-NP	O
on	on	o500	IN	B-PP	O
postural	postural	p0230604	JJ	B-NP	O
blood	blood	b403	NN	I-NP	O
pressure	pressure	p602060	NN	I-NP	O
was	be	w020	VBD	B-VP	O
not	not	n030	RB	O	O
the	the	t000	DT	B-NP	O
result	result	r02043	NN	I-NP	O
of	of	o100	IN	B-PP	O
underlying	underlie	u53064052	VBG	B-VP	O
autonomic	autonomic	a03050502	JJ	B-NP	O
failure	failure	f04060	NN	I-NP	O
.	.	.000	.	O	O

The	The	t000	DT	B-NP	O
aims	aim	a052	NNS	I-NP	O
of	of	o100	IN	B-PP	O
this	this	t020	DT	B-NP	O
study	study	s3030	NN	I-NP	O
were	be	w060	VBD	B-VP	O
to	to	t000	TO	I-VP	O
confirm	confirm	c051065	VB	I-VP	O
our	our	o060	PRP$	B-NP	O
previous	previous	p60102	JJ	I-NP	O
findings	finding	f053052	NNS	I-NP	O
in	in	i500	IN	B-PP	O
a	a	a000	DT	B-NP	O
separate	separate	s0106030	JJ	I-NP	O
cohort	cohort	c063	NN	I-NP	O
of	of	o100	IN	B-PP	O
patients	patient	p030532	NNS	B-NP	O
and	and	a530	CC	O	O
to	to	t000	TO	B-VP	O
determine	determine	d03065050	VB	I-VP	O
the	the	t000	DT	B-NP	O
time	time	t050	NN	I-NP	O
course	course	c0620	NN	I-NP	O
of	of	o100	IN	B-PP	O
the	the	t000	DT	B-NP	O
cardiovascular	cardiovascular	c06301020406	JJ	I-NP	O
consequences	consequence	c0520205202	NNS	I-NP	O
of	of	o100	IN	B-PP	O
stopping	stop	s301052	VBG	B-VP	O
selegiline	selegiline	s040204050	NN	B-NP	B-Chemical
in	in	i500	IN	B-PP	O
the	the	t000	DT	B-NP	O
expectation	expectation	e210230305	NN	I-NP	O
that	that	t030	IN	B-SBAR	O
this	this	t020	DT	B-NP	O
might	might	m0203	MD	B-VP	O
shed	shed	s030	VB	I-VP	O
light	light	l0203	NN	B-NP	O
on	on	o500	IN	B-PP	O
the	the	t000	DT	B-NP	O
mechanisms	mechanism	m02050252	NNS	I-NP	O
by	by	b000	IN	B-PP	O
which	which	w020	WDT	B-NP	O
the	the	t000	DT	B-NP	O
drug	drug	d602	NN	I-NP	O
causes	cause	c0202	VBZ	B-VP	O
orthostatic	orthostatic	o630230302	JJ	B-NP	B-Disease
hypotension	hypotension	h010305205	NN	I-NP	I-Disease
.	.	.000	.	O	O

METHODS	METHODS	m03032	NNS	B-NP	O
:	:	:000	:	O	O
The	The	t000	DT	B-NP	O
